index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,genre1,genre2,DJ0,Open Air / Festival0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,soundcloud0,traxsource0,soundcloud1,video0,beatport1,apple1,spotify1,spotify2,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
0,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Zeds Dead X Holly - Asteroid,Zeds Dead X Holly,/track/15sg2vw5/zeds-dead-holly-asteroid/index.html,548528, 0:55 ,01,False,13037018,1489395760,13Ls4Uc1tSAIaCVhz0H8hm,,,,,,,,,0.602,0.861,9.0,-6.844,0.0,0.0625,0.0767,0.337,0.62,0.136,135.029,13Ls4Uc1tSAIaCVhz0H8hm,270347.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
1,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,JAUZ & Zeds Dead - Lights Go Down (PEEKABOO Remix),JAUZ & Zeds Dead,/track/2rzl55lp/jauz-zeds-dead-lights-go-down-peekaboo-remix/index.html,474770, 2:38 ,02,False,11587074,1451502635,0RJgmCUXLIDQ2kMMAD5cGs,,,,,,,,,0.596,0.763,10.0,-5.819,0.0,0.0525,0.0363,0.129,0.107,0.0658,140.208,0RJgmCUXLIDQ2kMMAD5cGs,325720.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
2,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Zeds Dead & Dion Timmer ft. Delaney Jane - Rescue,Zeds Dead & Dion Timmer,/track/fj1k7l5/zeds-dead-dion-timmer-rescue/index.html,497128, 4:50 ,03,False,11955360,1462124127,4rX1D0bGnSgxcODvoseZEj,621088152,,,,,,,,0.585,0.958,1.0,-1.154,1.0,0.0741,0.107,0.000153,0.252,0.292,144.928,4rX1D0bGnSgxcODvoseZEj,181733.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
3,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Zeds Dead & SNAILS ft. Akylla - Magnets,Zeds Dead & SNAILS,/track/m19b6wf/zeds-dead-snails-magnets/index.html,444421, 7:45 ,04,False,11078572,1436616214,3PGdRTw60PSb61iKLHsRGO,506052426,,,,,,,,0.333,0.971,5.0,-2.467,0.0,0.309,0.00735,0.00301,0.164,0.0585,149.977,3PGdRTw60PSb61iKLHsRGO,259200.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
4,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,ConRank & Mark The Beast - System Up,ConRank & Mark The Beast,/track/cn2u9y5/conrank-mark-the-beast-system-up/index.html,485208, 8:48 ,05,False,11726257,1454818046,25KbXh5Ha0Qw4pcExRoU43,594041649,,,,,,,,0.582,0.818,11.0,-4.114,0.0,0.0434,0.000314,0.445,0.473,0.213,149.937,25KbXh5Ha0Qw4pcExRoU43,176000.0,4.0,experimental bass
5,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,JAUZ & Zeds Dead - Shake,JAUZ & Zeds Dead,/track/1hzhbj5p/jauz-zeds-dead-shake/index.html,522126, 9:41 ,06,False,12500920,1478047012,606LnHssjBNoQIrxa9KTYK,,,,,,,,,0.501,0.913,8.0,-3.68,1.0,0.0657,1.78e-05,0.324,0.18,0.366,75.026,606LnHssjBNoQIrxa9KTYK,278400.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
6,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Zeds Dead - Hadouken (VIP),Zeds Dead,/track/cdp3b3p/zeds-dead-hadouken-vip/index.html,235942, 10:30 ,07,False,,1396867564,0qexuiai99dy81DJmtnK9j,204377761,2451581,,,,,,,0.662,0.913,6.0,-3.79,0.0,0.0856,0.0171,0.00545,0.222,0.362,145.081,0qexuiai99dy81DJmtnK9j,236673.0,4.0,"brostep,canadian electronic,dubstep,edm,electro house,electronic trap,progressive electro house"
7,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Moody Good - SIXTYSIXTY,Moody Good,/track/2ldy5rl5/moody-good-sixtysixty/index.html,481128, 12:35 ,08,False,11728567,1455829314,4KClIg9qamJYK9LUjPZ7YE,588458406,,343640065,,,,,,0.579,0.971,1.0,-0.791,1.0,0.392,0.0069,0.000169,0.371,0.291,144.506,4KClIg9qamJYK9LUjPZ7YE,263172.0,4.0,"dubstep,edm,electro house,electronic trap,vapor twitch"
8,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,Damian Marley - Welcome To Jamrock (Champagne Drip Flip),Damian Marley,/track/1pj3rdr5/damian-marley-welcome-to-jamrock-champagne-drip-flip/index.html,449100, 14:20 ,09,False,,,,512881026,,,1NxK8-2L6rY,,,,,,,,,,,,,,,,,,,
9,2bqc73r1,"Zeds Dead @ circuitGROUNDS, EDC Las Vegas, United States 2019-05-19","Sun, May 19 2019",8575,1,49,50,Drum & Bass,Dubstep,Trap,Zeds Dead,EDC Las Vegas,YOOKiE ft. Jeff Kush - Bassquake,YOOKiE,/track/qs8s1fx/yookie-bassquake/index.html,436803, 15:50 ,10,False,10950256,1428207891,2l4SHLLWZLBonteTTPV3Bd,489092136,5600461,,,,,,,0.755,0.741,2.0,-5.709,1.0,0.083,0.0135,0.00019,0.105,0.163,149.988,2l4SHLLWZLBonteTTPV3Bd,183525.0,4.0,dubstep
