index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,genre1,genre2,genre3,DJ0,DJ1,Radio Show0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,soundcloud0,apple1,spotify1,traxsource0,soundcloud1,traxsource1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
10,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Eli Brown - Desire,Eli Brown,/track/16qvb1x5/eli-brown-desire/index.html,569028, 38:26 ,11,False,13366870,1504652837,6f64CZie7Zu3auwiazBbSF,786791938,1508523473,33yWC2Sf9kdjF9T4es4y6I,,,,0.581,0.931,5.0,-5.596,0.0,0.0461,0.00165,0.335,0.0737,0.599,124.986,6f64CZie7Zu3auwiazBbSF,155605.0,4.0,"bass house,deep groove house,deep house,disco house,funky tech house,house,tech house"
11,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Kage - Suspect,Kage,/track/2t0d12xf/kage-suspect/index.html,575641, 44:13 ,12,False,13491522,1508649225,6NLKC5EG7x83F0hGbm1hL7,810124444,,,7413393,,,0.883,0.6,10.0,-4.939,1.0,0.0796,0.133,0.327,0.0722,0.823,125.928,6NLKC5EG7x83F0hGbm1hL7,259524.0,4.0,dutch edm
12,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Yo Speed - Escape,Yo Speed,/track/2gsjunpx/yo-speed-escape/index.html,574819, 48:01 ,13,False,13417168,,,,,,,,,,,,,,,,,,,,,,,
13,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Bruno Furlan - Shazam Loser,Bruno Furlan,/track/2dwqrz6f/bruno-furlan-shazam-loser/index.html,567757, 52:36 ,14,False,13183708,1499487852,3EtjK48ingnB8OT1NYeTup,,,,,,,0.835,0.686,10.0,-8.154,0.0,0.063,4.47e-05,0.875,0.0462,0.0393,124.004,3EtjK48ingnB8OT1NYeTup,373000.0,4.0,"brazilian edm,brazilian tech house"
14,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Shadow Child - Jupiter,Shadow Child,/track/1tc2bd55/shadow-child-jupiter/index.html,574820, 56:10 ,15,False,13440568,1507403198,3EZyr8deQ453XKfogqBlnO,,,,,,,0.571,0.873,5.0,-5.552,0.0,0.033,0.000506,0.0753,0.271,0.404,126.892,3EZyr8deQ453XKfogqBlnO,230769.0,4.0,"deep groove house,house,minimal tech house"
15,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Robot Love - Boxwood,Robot Love,/track/2vthgblf/robot-love-boxwood/index.html,565565, 1:02:15 ,16,False,13338764,1503559977,6hbAXiQTQKI6KEER9HmCbS,771458425,,,7267863,,,0.527,0.63,8.0,-11.828,1.0,0.0417,0.539,0.897,0.102,0.604,123.858,6hbAXiQTQKI6KEER9HmCbS,372153.0,3.0,
16,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Duke Dumont & RY X - Let Me Go,Duke Dumont & RY X,/track/2uvudvbp/duke-dumont-ry-x-let-me-go/index.html,570418, 1:06:19 ,17,False,13401582,1499516637,6RoTt3f2TmCu7URokzKIBI,788748565,,,,,,0.531,0.814,8.0,-5.8,1.0,0.0364,0.000245,0.335,0.121,0.0501,128.011,6RoTt3f2TmCu7URokzKIBI,366118.0,4.0,"dance pop,destroy techno,disco house,edm,house,progressive house,tropical house,uk dance"
17,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Alyx Ander & Meszca - High Horse,Alyx Ander & Meszca,/track/2p98fb7p/alyx-ander-meszca-high-horse/index.html,578870, 1:12:24 ,18,False,13485255,1508382070,127sgHAi1lq3qFSbTKjfDj,800406910,,,7395867,,,0.859,0.447,7.0,-8.462,1.0,0.175,0.0485,0.634,0.371,0.339,122.162,127sgHAi1lq3qFSbTKjfDj,159344.0,3.0,
18,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Westend - Give It To Me,Westend,/track/2c1blzfx/westend-give-it-to-me/index.html,575299, 1:14:26 ,19,False,13336015,1503401742,1m5n1m2DHdlk3MDyTx6C2e,800415397,,,,,,0.672,0.881,7.0,-4.404,1.0,0.0444,0.00584,0.915,0.131,0.342,125.034,1m5n1m2DHdlk3MDyTx6C2e,236160.0,4.0,bass house
19,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Seven Lions & HALIENE - What's Done Is Done,Seven Lions & HALIENE,/track/2cyv15t5/seven-lions-haliene-whats-done-is-done/index.html,565620, 1:17:33 ,20,False,13337917,1501540431,00EFWaqXnHZ5smJNsHtnGV,784650631,,,7307639,,,0.394,0.745,8.0,-6.149,1.0,0.0451,0.422,0.000872,0.098,0.193,170.017,00EFWaqXnHZ5smJNsHtnGV,290824.0,4.0,"dubstep,edm,electro house,pop edm,progressive trance"
